Language,Size,Characteristic,Repetition,Time_ms
Java,100000,random,1,0.781000
Java,100000,random,2,0.836900
Java,100000,random,3,0.599700
Java,100000,random,4,0.637700
Java,100000,random,5,0.556000
Java,100000,random,6,0.582700
Java,100000,random,7,0.508400
Java,100000,random,8,0.521000
Java,100000,random,9,0.526000
Java,100000,random,10,0.537800
Java,100000,random,11,0.523400
Java,100000,random,12,0.565800
Java,100000,random,13,0.551700
Java,100000,random,14,1.627500
Java,100000,random,15,0.631600
Java,100000,random,16,1.171200
Java,100000,random,17,0.710100
Java,100000,random,18,0.545200
Java,100000,random,19,1.017900
Java,100000,random,20,0.550900
Java,100000,random,21,0.530200
Java,100000,random,22,0.554800
Java,100000,random,23,0.533100
Java,100000,random,24,0.534000
Java,100000,random,25,0.519900
Java,100000,random,26,0.542400
Java,100000,random,27,0.522000
Java,100000,random,28,0.530000
Java,100000,random,29,0.517900
Java,100000,random,30,1.212700
Java,100000,reversed,1,0.070200
Java,100000,reversed,2,0.078500
Java,100000,reversed,3,0.075800
Java,100000,reversed,4,0.195400
Java,100000,reversed,5,0.082500
Java,100000,reversed,6,0.079700
Java,100000,reversed,7,0.075800
Java,100000,reversed,8,0.079700
Java,100000,reversed,9,0.077800
Java,100000,reversed,10,0.076800
Java,100000,reversed,11,0.088700
Java,100000,reversed,12,0.069200
Java,100000,reversed,13,0.074700
Java,100000,reversed,14,0.069100
Java,100000,reversed,15,0.074200
Java,100000,reversed,16,0.069000
Java,100000,reversed,17,0.106600
Java,100000,reversed,18,0.075600
Java,100000,reversed,19,0.081400
Java,100000,reversed,20,0.110200
Java,100000,reversed,21,0.074300
Java,100000,reversed,22,0.074100
Java,100000,reversed,23,0.074600
Java,100000,reversed,24,0.074700
Java,100000,reversed,25,0.074300
Java,100000,reversed,26,0.074200
Java,100000,reversed,27,0.074000
Java,100000,reversed,28,0.074300
Java,100000,reversed,29,0.074700
Java,100000,reversed,30,0.095300
Java,100000,nearly_sorted,1,0.112900
Java,100000,nearly_sorted,2,0.104700
Java,100000,nearly_sorted,3,0.134300
Java,100000,nearly_sorted,4,0.114200
Java,100000,nearly_sorted,5,0.162100
Java,100000,nearly_sorted,6,0.153100
Java,100000,nearly_sorted,7,0.102300
Java,100000,nearly_sorted,8,0.098700
Java,100000,nearly_sorted,9,0.102400
Java,100000,nearly_sorted,10,0.104900
Java,100000,nearly_sorted,11,0.101000
Java,100000,nearly_sorted,12,0.105900
Java,100000,nearly_sorted,13,0.108000
Java,100000,nearly_sorted,14,0.122600
Java,100000,nearly_sorted,15,0.117900
Java,100000,nearly_sorted,16,0.105500
Java,100000,nearly_sorted,17,0.106600
Java,100000,nearly_sorted,18,0.104300
Java,100000,nearly_sorted,19,0.104600
Java,100000,nearly_sorted,20,0.103100
Java,100000,nearly_sorted,21,0.105100
Java,100000,nearly_sorted,22,0.106200
Java,100000,nearly_sorted,23,0.113200
Java,100000,nearly_sorted,24,0.101200
Java,100000,nearly_sorted,25,0.101100
Java,100000,nearly_sorted,26,0.100500
Java,100000,nearly_sorted,27,0.100400
Java,100000,nearly_sorted,28,0.110800
Java,100000,nearly_sorted,29,0.102400
Java,100000,nearly_sorted,30,0.100900
Java,500000,random,1,11.237100
Java,500000,random,2,8.432100
Java,500000,random,3,9.415400
Java,500000,random,4,10.552500
Java,500000,random,5,6.612600
Java,500000,random,6,5.484600
Java,500000,random,7,6.309900
Java,500000,random,8,6.341800
Java,500000,random,9,7.074400
Java,500000,random,10,12.855200
Java,500000,random,11,8.964600
Java,500000,random,12,6.811000
Java,500000,random,13,5.441700
Java,500000,random,14,6.324700
Java,500000,random,15,6.716500
Java,500000,random,16,7.585600
Java,500000,random,17,10.085900
Java,500000,random,18,15.109100
Java,500000,random,19,42.538800
Java,500000,random,20,19.273600
Java,500000,random,21,11.170800
Java,500000,random,22,7.031500
Java,500000,random,23,6.263100
Java,500000,random,24,6.010900
Java,500000,random,25,9.468700
Java,500000,random,26,13.553200
Java,500000,random,27,8.798000
Java,500000,random,28,11.220500
Java,500000,random,29,11.257900
Java,500000,random,30,13.678900
Java,500000,reversed,1,0.586500
Java,500000,reversed,2,0.508600
Java,500000,reversed,3,1.019300
Java,500000,reversed,4,0.534000
Java,500000,reversed,5,0.628500
Java,500000,reversed,6,0.775900
Java,500000,reversed,7,0.422400
Java,500000,reversed,8,0.655600
Java,500000,reversed,9,0.696900
Java,500000,reversed,10,0.784600
Java,500000,reversed,11,0.546500
Java,500000,reversed,12,0.752600
Java,500000,reversed,13,0.815800
Java,500000,reversed,14,0.749600
Java,500000,reversed,15,0.661100
Java,500000,reversed,16,0.432600
Java,500000,reversed,17,0.643900
Java,500000,reversed,18,0.413900
Java,500000,reversed,19,0.474400
Java,500000,reversed,20,0.571600
Java,500000,reversed,21,0.435600
Java,500000,reversed,22,0.496100
Java,500000,reversed,23,0.577900
Java,500000,reversed,24,0.946100
Java,500000,reversed,25,0.595800
Java,500000,reversed,26,0.570400
Java,500000,reversed,27,0.442900
Java,500000,reversed,28,0.409300
Java,500000,reversed,29,0.423100
Java,500000,reversed,30,0.415600
Java,500000,nearly_sorted,1,0.691200
Java,500000,nearly_sorted,2,0.657800
Java,500000,nearly_sorted,3,0.884200
Java,500000,nearly_sorted,4,0.815400
Java,500000,nearly_sorted,5,0.704200
Java,500000,nearly_sorted,6,0.831900
Java,500000,nearly_sorted,7,0.631700
Java,500000,nearly_sorted,8,0.895100
Java,500000,nearly_sorted,9,0.876000
Java,500000,nearly_sorted,10,0.915200
Java,500000,nearly_sorted,11,0.638200
Java,500000,nearly_sorted,12,0.739600
Java,500000,nearly_sorted,13,0.644100
Java,500000,nearly_sorted,14,0.624200
Java,500000,nearly_sorted,15,0.614100
Java,500000,nearly_sorted,16,0.612700
Java,500000,nearly_sorted,17,0.678300
Java,500000,nearly_sorted,18,0.717000
Java,500000,nearly_sorted,19,0.741100
Java,500000,nearly_sorted,20,0.625500
Java,500000,nearly_sorted,21,0.670100
Java,500000,nearly_sorted,22,0.784300
Java,500000,nearly_sorted,23,0.762700
Java,500000,nearly_sorted,24,0.867300
Java,500000,nearly_sorted,25,0.865500
Java,500000,nearly_sorted,26,0.716200
Java,500000,nearly_sorted,27,0.760300
Java,500000,nearly_sorted,28,0.610200
Java,500000,nearly_sorted,29,0.663100
Java,500000,nearly_sorted,30,0.700300
Java,1000000,random,1,20.187900
Java,1000000,random,2,21.215800
Java,1000000,random,3,19.617700
Java,1000000,random,4,15.942400
Java,1000000,random,5,24.053000
Java,1000000,random,6,19.282000
Java,1000000,random,7,22.084100
Java,1000000,random,8,41.976800
Java,1000000,random,9,36.451500
Java,1000000,random,10,18.367200
Java,1000000,random,11,20.695100
Java,1000000,random,12,22.257400
Java,1000000,random,13,17.557600
Java,1000000,random,14,18.352600
Java,1000000,random,15,15.574500
Java,1000000,random,16,25.287100
Java,1000000,random,17,63.519700
Java,1000000,random,18,23.376500
Java,1000000,random,19,31.429600
Java,1000000,random,20,16.498700
Java,1000000,random,21,35.438900
Java,1000000,random,22,22.486400
Java,1000000,random,23,20.166200
Java,1000000,random,24,18.054300
Java,1000000,random,25,15.931900
Java,1000000,random,26,18.087700
Java,1000000,random,27,16.667900
Java,1000000,random,28,15.497500
Java,1000000,random,29,17.234900
Java,1000000,random,30,41.869900
Java,1000000,reversed,1,0.794200
Java,1000000,reversed,2,1.515600
Java,1000000,reversed,3,0.745300
Java,1000000,reversed,4,0.743500
Java,1000000,reversed,5,0.737900
Java,1000000,reversed,6,0.713500
Java,1000000,reversed,7,0.715000
Java,1000000,reversed,8,0.761600
Java,1000000,reversed,9,0.847300
Java,1000000,reversed,10,0.943400
Java,1000000,reversed,11,0.906100
Java,1000000,reversed,12,0.820200
Java,1000000,reversed,13,0.763400
Java,1000000,reversed,14,0.825700
Java,1000000,reversed,15,0.765100
Java,1000000,reversed,16,0.769100
Java,1000000,reversed,17,0.753500
Java,1000000,reversed,18,0.760600
Java,1000000,reversed,19,0.756600
Java,1000000,reversed,20,0.747300
Java,1000000,reversed,21,0.706200
Java,1000000,reversed,22,0.771600
Java,1000000,reversed,23,0.762700
Java,1000000,reversed,24,0.734900
Java,1000000,reversed,25,0.824000
Java,1000000,reversed,26,0.758300
Java,1000000,reversed,27,0.707900
Java,1000000,reversed,28,0.790700
Java,1000000,reversed,29,0.785000
Java,1000000,reversed,30,0.755300
Java,1000000,nearly_sorted,1,1.210600
Java,1000000,nearly_sorted,2,1.178800
Java,1000000,nearly_sorted,3,1.188600
Java,1000000,nearly_sorted,4,1.165900
Java,1000000,nearly_sorted,5,1.275400
Java,1000000,nearly_sorted,6,1.158300
Java,1000000,nearly_sorted,7,1.163500
Java,1000000,nearly_sorted,8,1.146500
Java,1000000,nearly_sorted,9,1.268900
Java,1000000,nearly_sorted,10,1.306000
Java,1000000,nearly_sorted,11,1.161300
