Language,Size,Characteristic,Repetition,Time_ms
Python,100000,random,1,30.538922
Python,100000,random,2,20.055781
Python,100000,random,3,14.438001
Python,100000,random,4,14.870617
Python,100000,random,5,14.785026
Python,100000,random,6,21.925284
Python,100000,random,7,28.271005
Python,100000,random,8,17.249484
Python,100000,random,9,19.906776
Python,100000,random,10,30.136459
Python,100000,random,11,18.280303
Python,100000,random,12,19.348965
Python,100000,random,13,19.994449
Python,100000,random,14,19.784442
Python,100000,random,15,27.61983
Python,100000,random,16,40.226648
Python,100000,random,17,41.098281
Python,100000,random,18,45.858817
Python,100000,random,19,26.313105
Python,100000,random,20,17.527521
Python,100000,random,21,14.688085
Python,100000,random,22,14.37103
Python,100000,random,23,20.562206
Python,100000,random,24,22.356803
Python,100000,random,25,20.866252
Python,100000,random,26,18.158749
Python,100000,random,27,16.005522
Python,100000,random,28,16.641096
Python,100000,random,29,15.905481
Python,100000,random,30,12.917016
Python,100000,reversed,1,16.45306
Python,100000,reversed,2,15.953611
Python,100000,reversed,3,15.063927
Python,100000,reversed,4,12.657317
Python,100000,reversed,5,11.679051
Python,100000,reversed,6,11.591734
Python,100000,reversed,7,14.476596
Python,100000,reversed,8,12.980909
Python,100000,reversed,9,14.028116
Python,100000,reversed,10,19.762916
Python,100000,reversed,11,18.900709
Python,100000,reversed,12,13.940282
Python,100000,reversed,13,14.030518
Python,100000,reversed,14,11.645295
Python,100000,reversed,15,12.221542
Python,100000,reversed,16,12.358388
Python,100000,reversed,17,12.459987
Python,100000,reversed,18,12.880968
Python,100000,reversed,19,8.541746
Python,100000,reversed,20,8.225778
Python,100000,reversed,21,7.18012
Python,100000,reversed,22,8.517854
Python,100000,reversed,23,7.910133
Python,100000,reversed,24,7.588158
Python,100000,reversed,25,7.975498
Python,100000,reversed,26,7.954779
Python,100000,reversed,27,9.549475
Python,100000,reversed,28,10.570626
Python,100000,reversed,29,12.981115
Python,100000,reversed,30,10.131728
Python,100000,nearly_sorted,1,6.877457
Python,100000,nearly_sorted,2,8.418568
Python,100000,nearly_sorted,3,6.453865
Python,100000,nearly_sorted,4,6.209418
Python,100000,nearly_sorted,5,6.506531
Python,100000,nearly_sorted,6,7.012323
