Size,Characteristic,Language,Mean,SD,Count
100000,nearly_sorted,Java,0.11036333333333334,0.01494409082462739,30
100000,nearly_sorted,Python,6.444138633333334,1.1662105900568993,30
100000,random,Java,0.6659833333333334,0.26189484871148033,30
100000,random,Python,22.02339853333333,8.406902068332062,30
100000,reversed,Java,0.08251333333333334,0.023443898306725604,30
100000,reversed,Python,12.007064533333333,3.30429652399432,30
500000,nearly_sorted,Java,0.73125,0.0974028773560688,30
500000,nearly_sorted,Python,37.4293738,6.339430515503764,30
500000,random,Java,10.387353333333333,6.8976478987897165,30
500000,random,Python,212.47516806666667,32.7903756435193,30
500000,reversed,Java,0.59957,0.16229847801355765,30
500000,reversed,Python,49.184883199999994,7.530462947590667,30
1000000,nearly_sorted,Java,1.2039900000000001,0.052908420228111916,30
1000000,nearly_sorted,Python,77.37823943333333,14.833812597842275,30
1000000,random,Java,23.838759999999997,10.585541026572114,30
1000000,random,Python,454.2965150333333,58.63253595884799,30
1000000,reversed,Java,0.7993833333333333,0.14546995917710467,30
1000000,reversed,Python,109.4273545,15.958538973725213,30
2000000,nearly_sorted,Java,3.80055,0.6092853007898851,30
2000000,nearly_sorted,Python,168.67573333333334,24.519235414962534,30
2000000,random,Java,204.70006666666666,108.96058849578512,30
2000000,random,Python,991.6655235000001,103.99726770810662,30
2000000,reversed,Java,1.80387,0.35232336454867225,30
2000000,reversed,Python,212.39032083333333,34.88016248734164,30
